lemma	codlem	gen	codmorf	NoLemLat	NoLiLaL	NoLiLaH	NoB	NoO	NoD	LemLatLST	LiLaLST
amplus	N2/1	*	Af-	2	1	0	1	1	0	46310(5473),2087(a1778)	lemma/88785
anacreonticus	N2/1	*	Af-	2	1	0	1	1	0	46378(5614),2152(a9942)	lemma/91137
andro	N3B	m	NpC	2	1	0	0	2	0	46570(5939),46571(5940)	lemma/17409
anicetus	N2/1	*	Af-	2	1	0	1	1	0	2360(a2020),46652(6126)	lemma/89066
annalis	N3A	*	Af-	2	1	0	1	1	0	46676(6197),2395(a2050)	lemma/89099
antinoopolis	N3B	f	NpC	2	1	0	0	2	0	46826(6655),46825(6654)	lemma/19383
antius	N2/1	*	Af-	2	1	0	0	2	0	46872(6751),46871(6750)	lemma/19510
aonius	N2/1	*	Af-	2	1	0	1	1	0	46927(6841),2674(a3729)	lemma/90929
aphrodisiacus	N2/1	*	Af-	2	1	0	1	1	0	2717(a2343),46995(6965)	lemma/89420
apicius	N2/1	*	Af-	2	1	0	1	1	0	2739(a2359),47011(7006)	lemma/89444
apollinaris	N3A	*	Af-	2	1	0	1	1	0	47036(7092),2789(a2407)	lemma/89499
apollinarius	N2/1	*	Af-	2	1	0	1	1	0	47038(7094),2790(a2406)	lemma/89497
aponus	N2/1	*	Af-	2	1	0	0	2	0	47084(7150),47085(7151)	lemma/20268
aqua	N1	f	NpA	2	1	0	0	2	0	47176(7500),47177(7503)	lemma/21307
aquilinus	N2/1	*	Af-	2	1	0	1	1	0	47200(7584),3027(a2610)	lemma/89721
aquilius	N2/1	*	Af-	2	1	0	1	1	0	47202(7586),3028(a2611)	lemma/89722
aquilonius	N2/1	*	Af-	2	1	0	1	1	0	47208(7599),3034(a2614)	lemma/89725
ar	N	2	NpP	2	1	0	0	2	0	47223(7626),47224(7627)	lemma/21613
arabicus	N2/1	*	Af-	2	1	0	1	1	0	47240(7650),3047(a2627)	lemma/89739
arae	N1	f	NpA	2	1	0	0	2	0	47278(7696),47279(7697)	lemma/21865
archelaus	N2	m	NpB	2	1	0	0	2	0	47377(7895),47378(7896)	lemma/22330
archilochicus	N2/1	*	Af-	2	1	0	1	1	0	3148(a3733),47395(7932)	lemma/90933
archilochius	N2/1	*	Af-	2	1	0	1	1	0	47396(7934),3149(a3732)	lemma/90932
argantomagus	N2	m	NpB	2	1	0	0	2	0	47508(8182),47507(8181)	lemma/22669
argentarius	N2/1	*	Af-	2	1	0	1	1	0	47519(8203),3243(a2788)	lemma/89923
arianus	N2/1	*	Af-	2	1	0	0	2	0	47580(8328),47581(8329)	lemma/23193
aricinus	N2/1	*	Af-	2	1	0	0	2	0	47592(8341),47593(8342)	lemma/23226
aristobolius	N2/1	*	Af-	2	1	0	1	1	0	3305(a3735),47640(8421)	lemma/90935
aristophaneus	N2/1	*	Af-	2	1	0	1	1	0	47660(8445),3308(a3736)	lemma/90936
arius	N2	m	NpB	2	1	0	0	2	0	47675(8468),47676(8469)	lemma/23894
armentarius	N2/1	*	Af-	2	1	0	1	1	0	3336(a2866),47690(8501)	lemma/90010
ascalonius	N2/1	*	Af-	2	1	0	1	1	0	47868(8902),3487(a3001)	lemma/90161
asclepiadeus	N2/1	*	Af-	2	1	0	1	1	0	47880(8942),3507(a3737)	lemma/90937
asinarius	N2/1	*	Af-	2	1	0	1	1	0	3534(a3055),47922(9020)	lemma/90221
assius	N2/1	*	Af-	2	1	0	0	2	0	47976(9264),47975(9263)	lemma/25576
astraeus	N2/1	*	Af-	2	1	0	0	2	0	48039(9414),48040(9415)	lemma/25642
athal	N	m	NpP	2	1	0	0	2	0	48137(9602),48138(9603)	lemma/25743
aufidius	N2/1	*	Af-	2	1	0	0	2	0	48396(10080),48397(10081)	lemma/31
auitus	N2/1	*	Af-	2	1	0	1	1	0	48460(10622),4059(a3504)	lemma/90712
auius	N2/1	*	Af-	2	1	0	1	1	0	4061(a3505),48461(10625)	lemma/90713
autumnus	N2/1	*	Af-	2	1	0	1	1	0	4205(a3667),48592(10475)	lemma/90898
