lemma	codlem	gen	codmorf	keep	throwLst
plebiscitum	N2	n	NcB	p2176	DB1B5
plebs	N3B	f	NcC	p2734	DB1BA
pleurisis	N3B	f	NcC	p2341	DB1G1
pons	N3B	m	NcC	p2563	DB3C3,DB3C4
possibilis	N3A	*	Af-	p2693	DB4HD
postis	N3B	m	NcC	p5006	DB544,DB541,DB542,DB543
postpono	V3		VmH	p2731	DB54F
praestes	N3B	m	NcC	p3315	DB6FE
procapis	N3B	f	NcC	p3635	DB8D0
procer	N3B	m	NcC	p3643	DB8E1
proficio	V5		VmM	p3763	DB94B
proles	N3B	f	NcC	p3831	DB986
proneptis	N3B	f	NcC	p3917	DB9CA
propes	N3B	m	NcC	p3972	DB9F2
prouincialis	N3B	m	NcC	p4217	DBAE4
pseudocomitatenses	N3B	m	NcC	p4292	DBB2B
pyxis	N3B	f	NcC	p4679	DBCFG
quando	I		X--	q0127	DBD7E
quinquessis	N3B	m	NcC	q0272	DBEEG
quisque	PR	*	Pu-	q9209	DBF0A
quorsum	I		X--	q0315	DBF2A
recolligo	V3		VmH	r1021	DC028,DC026,DC027
recumbo	V3		VmH	r1058	DC09A
redimo	V3		VmH	r1087	DC0G6,DC0G7
resculpo	V3		VmH	r1326	DC478
restis	N3B	f	NcC	r0555	DC50H,DC510,DC511
rete	N3B	n	NcC	r0574	DC544
retransmitto	V3		VmH	r1402	DC5B4
reuoluo	V3		VmH	r1449	DC667,DC668
rheuma	N3B	n	NcC	r0664	DC689
robur	N3B	n	NcC	r0769	DC79G
roncho	V1		VmF	r1473	DC843
ruo	V3		VmH	r1499	DC973
rupes	N3B	f	NcC	r0908	DC9E8
sacer	N2/1	*	Af-	s0040	72262,DCAB0
sagochlamys	N3B	f	NcC	s0129	DCB4F
sal	N3B	m	NcC	s0136	DCB80
salus	N3B	f	NcC	s0233	DCCAB,DCCAC,DCCA9,DCCAA
sanguis	N3B	m	NcC	DCD0D	DCD0G,DCD0H,DCD0E,DCD0F
saphon	N3B	m	NcC	s0335	DCD3A
sapio	V5		VmM	s0339	DCD33,DCD34
satisdatio	N3B	f	NcC	s0430	DCDH5
satisfacio	V5		VmM	s0433	DCDH6
