lemma	codlem	gen	codmorf	keep	throwLst
campso	V1		VmF	c0344	D2FA4,D2FA3
cancero	V1		VmF	c0376	D2FH8
candido	V1		VmF	c0392	D2G26
candifico	V1		VmF	c0395	D2G2F,D2G2G
canonizo	V1		VmF	c0432	D2GC9,D2GC6,D2GC7,D2GC8
capello	V1		VmF	c0481	D2H70,D2H71
carrico	V1		VmF	c0705	D329C,D329D
castifico	V1		VmF	c0770	D3415
cateno	V1		VmF	c0877	D34CG
caudifico	V1		VmF	c0943	D358F
cauerno	V1		VmF	c0954	D35A8
cauterizo	V1		VmF	c1019	D35GC
centesimo	V1		VmF	c1135	D36H5
cernulo	V1		VmF	c1246	D37CH
certifico	V1		VmF	c1269	D37EB
christianizo	V1		VmF	c1512	D3A4B
circito	V1		VmF	c1682	D3B5D
circo	V1		VmF	c1686	D3B4E,D3B67
circumdo	V1		VmF	c1734	D3B86
circumtermino	V1		VmF	c1900	D3B9A
clarico	V1		VmF	c2031	D3C79
clarifico	V1		VmF	c2033	D3C7A
clino	V1		VmF	c2117	D3D3E
clipeo	V1		VmF	c2121	D3D4D
clocito	V1		VmF	c2139	D3D71
collatero	V1		VmF	c2381	D3F67
collibro	V1		VmF	c2413	D3FBB
combaiulo	V1		VmF	c2556	D3G59
comissor	V1		VmF	c2584	D3G9E
commasculo	V1		VmF	c2618	D3GE3
commastico	V1		VmF	c2619	D3GE5
commino	V1		VmF	c7677	D3H1G
commoto	V1		VmF	c2731	D3H50
commulco	V1		VmF	c2736	D3H53
compendio	V1		VmF	c2813	D3HDF
compleo	V2		VmG	c2856	D3HH4,D3HH3
complexo	V1		VmF	c4820	D3HHA
compulso	V1		VmF	c2922	D403A,D403B
concenturio	V1		VmF	c2977	D4084
concrepo	V1		VmF	c3081	D40F3
concursito	V1		VmF	c3118	D40GB
condulco	V1		VmF	c3193	D4174
confoedero	V1		VmF	c3291	D41F2
conforto	V1		VmF	c3305	D41F8
congyro	V1		VmF	c3402	D4233
consepelio	V4		VmL	c3512	D42G4
consto	V1		VmF	c3620	D4367
contemporo	V1		VmF	c3705	D43CE
contento	V1		VmF	c3720	D43D5,D43D3,D43D4
contessero	V1		VmF	c3731	D43E2
continor	V1		VmF	c3752	D43FD
continuor	V1		VmF	c3752	D43H0,D43H1
contrauenio	V4		VmL	c3805	D4465
conturmo	V1		VmF	c3849	D4484
conuador	V1		VmF	c3854	D448A
conuenio	V4		VmL	c3872	D44A4,D44A5
conuento	V1		VmF	c3878	D44A7
conuenusto	V1		VmF	c3879	D44C0
cooperio	V4		VmL	c3951	D44FF
coxigo	V1		VmF	c4226	D480C
crapulor	V1		VmF	c4238	D4845
crepo	V1		VmF	c4324	D48DE
crispio	V4		VmL	c4370	D4955
crotalisso	V1		VmF	c4414	D49D5
crotolo	V1		VmF	c4418	D49D9
