LiLaRef	LemLatLST	lemmaLST
lemma/106494	110248(D7D67),19156(i0460)	impedimentum,impelimentum
lemma/106525	110272(D7D80),19193(i0490)	imperfundies,imperfundities
lemma/106539	151559(D7GE7),19206(i0503)	impero,indupero
lemma/106551	149679(D7D4A),19217(i0514)	impartior,impertio
lemma/106588	151435(D80G0),19253(i0547)	impingo,inpingo
lemma/106601	152022(D80G2),19267(i0560)	implano,inplano
lemma/106614	110347(D7DD0),152616(D80G5),19281(i0572)	implicisco,inplicisco
lemma/106639	111648(D80G8),19303(i0596)	importabilis,inportabilis
lemma/106659	111655(D80GF),19325(i0616)	impraemeditatus,inpraemeditatus
lemma/106666	110426(D7E05),19332(i0623)	impraeuaricabilis,impreuaricabilis
lemma/106691	111662(D80H6),19357(i0647)	improlis,inprolis
lemma/106705	112642(D84CA),22009(i0660)	iubilaeum,iubileum
lemma/106838	110518(D7E61),19511(i0787)	inadspicuus,inaspicuus
lemma/106912	152029(D7F88),19595(i0859)	inceno,incoeno
lemma/106946	148115(D7ED7),19633(i0889)	incaraxo,incharaxo
lemma/106954	110699(D7F2H),19641(i0897)	inci'do,incido
lemma/106959	149610(D7G02),19647(i0901)	incilo,inculo
lemma/107008	110772(D7F7D),110782(D7F86),19702(i0948)	inclitus,inclutus,inclytus
lemma/107240	98954(D5A4B),110920(D7G01),19946(i1171)	encudo,incudo,incus
lemma/107246	148110(D7EG5),19952(i1176)	incauso,incuso
lemma/107349	148132(D7G8E),20063(i1272)	indigeto,indigito
lemma/107359	111053(D7G8G),20070(i1280)	indigno,indignor
lemma/107370	152836(D7G99),20081(i1290)	indipisco,indipiscor
lemma/107841	152212(D802H),20590(i1730)	inhaeredito,inheredito
lemma/107896	110521(D7E67),20647(i1782)	inaequus,iniquus
lemma/108085	111880(D81FE),20848(i1963)	inscius,instius
lemma/108100	152763(D815C),20865(i1977)	insecto,insector
lemma/108137	99806(D5D30),20909(i2014)	esiciatus,insiciatus
lemma/108140	99059(D5AB4),112573(D848B),20910(i2015)	ensicium,insicium,isicium
lemma/108147	111791(D8184),20915(i2020)	insidio,insidior
lemma/108297	111920(D81GD),21079(i2164)	insublum,insubulum
