codlem	gen	codmorf	LiLaRef	n_id	lemma	Throw_n_id	Throw_lemma	chk
N3B	m	NcC	lemma/44163	D3A0A	choralis	D456F	coralis	NO
N2	n	NcB	lemma/96564	c4003	corallium	D4570	corallum	OK
N1	f	NcA	lemma/93826	c1489	chorda	D45A8	corda	OK
N2	m	NcB	lemma/93827	c1490	chordapsus	D45AH	cordapsus	NO
N2/1	*	Af-	lemma/92709	c0519	cardiacus	D45CH	cordiacus	OK
I		X--	lemma/96582	c4019	cordacitus	D45D7	cordicitus	OK
N3B	m	NcC	lemma/93828	c1491	chordifex	D45D9	cordifex	NO
N1	f	NcA	lemma/96589	c4026	cordyla	D45F2	cordula	OK
N3B	m	NcC	lemma/41342	D3A16	choreator	D45FF	coreator	NO
N2	m	NcB	lemma/93831	c1494	chorepiscopus	D45G8	corepiscopus	NO
N2	n	NcB	lemma/96747	c4170	coryletum	D460D	coriletum	OK
N1	m	NcA	lemma/41351	D3A1G	chorista	D4618	corista	NO
N1	f	NcA	lemma/96757	c4180	coryza	D461F	coriza	NO
N1	f	NcA	lemma/96642	c4068	corona	D4629	corna	OK
N1	m	NcA	lemma/96630	c4061	cornupeta	D4654	cornipeta	OK
N3B	f	NcC	lemma/94751	c2335	cohors	D46FH	cors	OK
N2	m	NcB	lemma/44547	D46H9	cortesanus	D46HD	corthesanus	NO
N2/1	*	Af-	lemma/96761	c4184	cosmicos	D4738	cosmicus	OK
N2	m	NcB	lemma/96764	c4185	cosmos	D473C	cosmus	OK
N2/1	*	Af-	lemma/44687	D4799	coterius	D479F	cotherius	NO
I		X--	lemma/96794	c4213	cottidie	D479G	cothidie	NO
N3B	m	NcC	lemma/96782	c4201	cotho	D47A2	cothon	OK
I		X--	lemma/96794	c4213	cottidie	D47AG	cotidie	OK
N3B	f	NcC	lemma/96758	c4181	cos	D47B4	cotis	OK
N3B	f	NcC	lemma/96758	c4181	cos	D47B4	cotis	OK
N3B	f	NcC	lemma/97401	c4762	cutis	D47B4	cotis	OK
N3B	f	NcC	lemma/97401	c4762	cutis	D47B4	cotis	OK
N1	f	NcA	lemma/44693	D47A0	cothlanda	D47B7	cotlanda	NO
N2	m	NcB	lemma/96786	c4205	cothurnus	D47CG	coturnus	OK
N2	m	NcB	lemma/96804	c4222	couinnus	D47EB	couinus	OK
N2	m	NcB	lemma/44830	D3EGD	coisinus	D4817	coysinus	NO
N3B	f	NcC	lemma/44956	D48AB	credicio	D48AF	creditio	NO
N1	f	NcA	lemma/92664	c0483	capra	D48DB	crepa	OK
V1		VmF	lemma/96951	c4354	criminor	D4929	crimino	OK
V1		VmF	lemma/45051	D3A3E	chrio	D490H	crio	NO
N1	f	NcA	lemma/97080	c4471	crypta	D4940	cripta	OK
N3B	n	NcC	lemma/93850	c1510	chrisma	D4949	crisma	NO
N2	n	NcB	lemma/41378	D3A40	chrismon	D494B	crismon	NO
N2	n	NcB	lemma/45100	D3A42	chrisobolum	D494C	crisobolum	NO
V1		VmF	lemma/96965	c4367	criso	D4956	crisso	OK
N1	f	NcA	lemma/41390	D3A4G	chroada	D4971	croada	NO
N1	f	NcA	lemma/41395	D3A53	chronica	D49A9	cronica	NO
N1	f	NcA	lemma/97080	c4471	crypta	D49HG	crupta	OK
N2/1	*	Af-	lemma/97094	c4483	cubicularius	D4A5E	cubuclarius	OK
N2/1	*	Af-	lemma/97094	c4483	cubicularius	D4A5E	cubuclarius	OK
N1	f	NcA	lemma/93448	c1161	coquina	D4A66	cucina	OK
V4		VmL	lemma/97111	c4496	cuccubio	D4A6G	cucubio	OK
N1	f	NcA	lemma/97165	c4547	culina	D4ADG	culna	OK
N1	f	NcA	lemma/97437	c4795	cyma	D4B00	cuma	OK
N1	f	NcA	lemma/97267	c4637	cunila	D4B3B	cunela	OK
N2	m	NcB	lemma/97273	c4643	cunnus	D4B55	cunus	OK
N1	f	NcA	lemma/93673	c1357	cuppedia	D4B61	cupedia	OK
N3A	*	Af-	lemma/97293	c4662	cuppes	D4B6B	cupes	OK
N1	f	NcA	lemma/93325	c1053	copula	D4B7D	cupla	OK
N3B	m	NcC	lemma/93238	c0982	caupo	D4B7G	cupo	OK
N1	f	NcA	lemma/97275	c4645	cupa	D4B7H	cuppa	OK
N1	f	NcA	lemma/97299	c4668	cupula	D4B88	cuppula	OK
N2	n	NcB	lemma/97500	c4852	cyprum	D4B8B	cuprum	OK
N2	n	NcB	lemma/97604	c7935	cyprum	D4B8B	cuprum	OK
N2	n	NcB	lemma/93925	c1575	ciborium	D4CE4	cymborium	NO
N2	n	NcB	lemma/45877	D3AE7	cimeterium	D4CE8	cymeterium	NO
N2	n	NcB	lemma/41522	D3AE0	cimelia	D4CEA	cymilia	NO
N2	n	NcB	lemma/94681	c2267	coemeterium	D4CEC	cymiterium	NO
N		NcP	lemma/41570	D36C3	cenegild	D4CF0	cynegild	NO
N2	m	NcB	lemma/94030	c1666	cippus	D4CFA	cyppus	NO
N1	f	NcA	lemma/45894	D3B3H	cipriana	D4CFD	cypriana	NO
N1	f	NcA	lemma/41636	D3B4H	circbota	D4CG0	cyrcbota	NO
N2	m	NcB	lemma/41707	D3BB2	cirlistus	D4CG8	cyrlistus	NO
N2	m	NcB	lemma/41716	D39F4	chirogryllus	D4CGA	cyrogrillus	NO
N2	m	NcB	lemma/45906	D3BBF	cirologus	D4CGC	cyrologus	NO
N2	n	NcB	lemma/41767	D3BF2	cisurgium	D4CH1	cysurgium	NO
N1	f	NcA	lemma/40622	D3729	ceola	D4CH3	cyula	NO
V1		VmF	lemma/97957	d0095	debacchor	D4DDE	debaccho	OK
N3A	*	Af-	lemma/97965	d0103	debil	D4DF2	debilis	OK
V3		VmH	lemma/98048	d0178	decerpo	D4E26	decarpo	OK
N2	m	NcB	lemma/98024	d0156	decem-primus	D4E32	decemprimus	OK
N2	m	NcB	lemma/46231	D4E54	dechi	D4E57	deci	NO
N2	m	NcB	lemma/99139	d1200	decimanus	D4EC2	decumanus	OK
I		X--	lemma/98169	d0286	decussatim	D4EDB	decusatim	OK
V1		VmF	lemma/98200	d0313	dedignor	D4EF2	dedigno	OK
N3B	f	NcC	lemma/98211	d0324	deductio	D4EFC	deduccio	NO
V1		VmF	lemma/98222	d0333	defaeco	D4EH8	defeco	NO
N1	f	NcA	lemma/46461	D4F9G	degrae	D4FA7	degre	NO
V1		VmF	lemma/98380	d0484	deiero	D4FE6	deiuro	OK
N2/1	*	Af-	lemma/98490	d0583	delirus	D4FG7	delerus	OK
V4		VmL	lemma/98557	d0644	demolior	D4G6G	demolio	OK
N2	m	NcB	lemma/45942	D4D10	daemulus	D4G82	demulus	NO
N1	f	NcA	lemma/98636	d0719	dentharpaga	D4GBD	dentarpaga	NO
N2/1	*	Af-	hypolemma/83207	d0795	depinnatus	D4GFE	depennatus	OK
V1		VmF	lemma/98744	d0824	depopulor	D4H08	depopulo	OK
V1		VmF	lemma/98786	d0861	depretio	D4H27	deprecio	OK
V3		VmH	lemma/98781	d0856	deprehendo	D4H28	deprendo	OK
N3A	*	Af-	lemma/98801	d0876	depugis	D4H44	depygis	OK
V4		VmL	lemma/46868	D4H87	desaisio	D4H95	desaysio	NO
N2/1	*	Af-	lemma/97855	d0000	dexter	D50F2	dextimus	OK
N1	f	NcA	lemma/97858	d0003	dextera	D50F3	dextra	OK
N1	f	NcA	lemma/47178	D4FDH	deita	D50G9	deyta	NO
N2/1	*	Af-	lemma/47244	D5139	diarhodinus	D513C	diarodinus	NO
N1	f	NcA	lemma/99280	d1329	dica	D5161	dicha	NO
N1	f	NcA	lemma/99187	d1245	diaeta	D51A0	dieta	OK
N2	n	NcB	lemma/47390	D51GG	dignerium	D5250	dinerium	NO
V1		VmF	lemma/99767	d1868	disraro	D5288	diraro	OK
N3B	m	NcC	lemma/47572	D52CH	discariator	D52EA	dischariator	NO
N2	m	NcB	lemma/99673	d1778	discus	D52EB	dischus	NO
N2/1	*	Af-	lemma/100333	d2415	dyscolus	D52G1	discolus	NO
N1	f	NcA	lemma/100334	d2416	dysenteria	D531D	disenteria	NO
V1		VmF	lemma/99702	d1806	dispalor	D5362	dispalo	OK
V3		VmH	lemma/99579	d1684	dirumpo	D53BE	disrumpo	OK
N2	n	NcB	lemma/99762	d1863	dissaeptum	D53CD	disseptum	OK
V1		VmF	lemma/99810	d1910	dissimulo	D53D8	dissimilo	OK
N2	n	NcB	lemma/99088	d1152	deuerticulum	D5424	diuerticulum	OK
N3B	m	NcC	lemma/100032	d2125	dolo	D54EH	dolon	OK
N1	f	NcA	lemma/98034	d0165	domina	D5552	domna	OK
N1	f	NcA	lemma/98182	d0298	dominula	D555A	domnula	OK
N2	m	NcB	lemma/98183	d0299	dominulus	D555B	domnulus	OK
N2	m	NcB	lemma/98084	d0210	dominus	D555C	domnus	OK
N1	f	NcA	lemma/48293	D562A	dreitura	D5639	dreytura	NO
N2	m	NcB	lemma/100150	d2234	dromos	D5650	dromus	OK
N1	m	NcA	lemma/48387	D568D	duca	D56AD	ducha	NO
N1	f	NcA	lemma/48401	D56AF	duchissa	D56BB	ducissa	NO
N3B	m	NcC	lemma/91435	b0220	bellator	D56D1	duellator	OK
N2	n	NcB	lemma/91461	b0244	bellum	D56D8	duellum	OK
N3A	*	Af-	lemma/91557	b0332	bidens	D56E6	duidens	OK
I		X--	lemma/100243	d2324	dumtaxat	D56HA	duntaxat	OK
N2	n	NcB	lemma/100088	d2180	donum	D56HB	dunum	OK
N2	n	NcB	lemma/91351	b0144	bonum	D570A	duonum	OK
N3B	n	NcC	lemma/99542	d1651	diploma	D572A	duploma	OK
N2	n	NcB	lemma/47220	D511E	dialagium	D5764	dyalagium	NO
N2	n	NcB	lemma/48542	D524B	dinamidium	D576A	dynamidium	NO
N2	n	NcB	lemma/47390	D51GG	dignerium	D576C	dynerium	NO
N2/1	*	Af-	lemma/48544	D5260	diocesianus	D576D	dyocesianus	NO
N3B	f	NcC	lemma/48548	D5340	disis	D576H	dysis	NO
N2/1	*	Af-	lemma/105995	h9962	hebeninus	D5785	ebeninus	OK
N2/1	*	Af-	lemma/100490	e0011	eboratus	D579C	eburatus	OK
N3B	n	NcC	lemma/93763	c1437	cheuma	D57A2	eccheuma	OK
V1		VmF	lemma/48631	D57CF	eclipso	D57D0	eclypso	NO
N3B	m	NcC	lemma/48621	D57C4	echones	D57D1	econes	NO
N3B	f	NcC	lemma/102348	e1783	exstasis	D57DA	ecstasis	OK
N3B	f	NcC	lemma/102348	e1783	exstasis	D57DA	ecstasis	OK
N2	n	NcB	lemma/27703	D07A6	aedificamentum	D57FE	edificamentum	NO
N2	n	NcB	lemma/87743	a0851	aedificium	D57FF	edificium	NO
N3B	m	NcC	lemma/87747	a0855	aedilis	D57FH	edilis	OK
N3B	f	NcC	lemma/87748	a0856	aedilitas	D57G0	edilitas	NO
N2/1	*	Af-	lemma/89149	a2095	aedilicius	D57G1	edilitius	NO
V1		VmF	lemma/114816	o0590	offoco	D5842	effoco	OK
N3B	f	NcC	lemma/100673	e0181	effugatio	D585F	effugacio	NO
N2/1	*	Af-	lemma/87761	a0866	aeger	D5878	eger	NO
N2/1	*	Af-	lemma/100709	e0215	egestosus	D587E	egestuosus	OK
N1	f	NcA	lemma/27717	D07BF	aegilopa	D5883	egilopa	NO
N2	n	NcB	lemma/87783	a0881	aegrimonium	D589B	egrimonium	NO
N2/1	*	Af-	lemma/87789	a0887	aegrotaticius	D589E	egrotatitius	NO
N2/1	*	Af-	lemma/87791	a0889	aegroticius	D589F	egroticius	NO
N2	n	NcB	lemma/100768	e0272	electarium	D58EC	electuarium	OK
N2/1	*	Af-	lemma/100792	e0295	elementicius	D58GD	elementitius	NO
N1	f	NcA	lemma/105294	h0226	hemina	D59C4	emina	OK
N1	f	NcA	lemma/105150	h0099	hamula	D59DE	emola	OK
N2	n	NcB	lemma/101007	e0488	emolumentum	D59E1	emolimentum	OK
N2	n	NcB	lemma/101090	e0568	enchiridion	D5A38	enchiridium	OK
N3B	f	NcC	lemma/107240	i1171	incus	D5A4B	encudo	OK
N1	f	NcA	lemma/101155	e0628	entelechia	D5A4H	endelechia	OK
N3B	n	NcC	lemma/102616	e9584	energema	D5A63	energima	OK
N2/1	*	Af-	lemma/101128	e0602	enneadicus	D5A98	enneaticus	OK
N2	n	NcB	lemma/108140	i2015	insicium	D5AB4	ensicium	OK
N2	n	NcB	lemma/87815	a0909	aenulum	D5ADF	enulum	NO
N3B	n	NcC	lemma/105313	h0242	hepar	D5AF6	epar	OK
N1	m	NcA	lemma/101224	e0700	epibata	D5AG8	ephibata	NO
N2	n	NcB	lemma/49365	D5AH0	epicaedium	D5AH2	epicedium	NO
N1	f	NcA	lemma/49359	D5AGA	ephicerna	D5AH3	epicerna	NO
N2	m	NcB	lemma/101245	e0719	epicyclus	D5AH4	epiciclus	NO
N2	n	NcB	lemma/101286	e0757	epiraedium	D5B25	epirhedium	NO
N2/1	*	Af-	lemma/101327	e0794	epitritos	D5B66	epitritus	OK
V1		VmF	lemma/101350	e0817	epulor	D5B78	epulo	OK
N1	m	NcA	lemma/101224	e0700	epibata	D5B7E	epybata	NO
N1	f	NcA	lemma/49467	D5B05	epifora	D5B7G	epyfora	NO
N2	n	NcB	lemma/101271	e0744	epimenia	D5B80	epymenia	NO
N2	n	NcB	lemma/101320	e0787	epitogium	D5B87	epythogium	NO
N1	f	NcA	lemma/49477	D07E7	aequantia	D5B8A	equantia	NO
N2	m	NcB	lemma/101357	e0823	equiferus	D5B9B	equifer	OK
N2/1	*	Af-	lemma/49489	D07F6	aequilocus	D5B9D	equilocus	NO
V1		VmF	lemma/87869	a0961	aequo	D5B8B	equo	NO
I		X--	lemma/49510	D07GD	aequorabiliter	D5BBC	equorabiliter	NO
N2	m	NcB	lemma/100552	e0070	eculeus	D5BBE	equuleus	OK
I		X--	lemma/102268	e1707	exradicitus	D5BC5	eradicitus	OK
N3B	n	NcC	lemma/87876	a0968	aeramen	D5BC6	eramen	OK
N2	n	NcB	lemma/87877	a0969	aeramentum	D5BC8	eramentum	NO
N3B	m	NcC	lemma/87882	a0971	aerator	D5BCF	erator	NO
N2	m	NcB	lemma/109575	i9916	irenaceus	D5BGE	erinaceus	OK
N3A	*	Af-	lemma/87892	a0979	aeripes	D5BH0	eripes	NO
N3B	m	NcC	lemma/87900	a0986	aero	D5C0G	ero	OK
N1	f	NcA	lemma/27791	D080H	aescaeta	D5C61	escaeta	NO
V3		VmH	lemma/49669	D5C5D	escado	D5CA2	eschado	NO
N2/1	*	Af-	lemma/49749	D5C6F	escalmamentus	D5CAE	eschalmamentus	NO
N1	f	NcA	lemma/49688	D5C71	escanchia	D5CAG	eschanchia	NO
V1		VmF	lemma/49762	D5C86	escario	D5CBD	eschario	NO
N1	f	NcA	lemma/49719	D5C8G	escassa	D5CC2	eschassa	NO
N2	n	NcB	lemma/49721	D5C91	escaticum	D5CC5	eschaticum	NO
N2	m	NcB	lemma/49724	D5C95	escaudetus	D5CC7	eschaudetus	NO
N1	f	NcA	lemma/27791	D080H	aescaeta	D5CCH	escheta	NO
N2/1	*	Af-	lemma/49798	D5CE2	eschoparius	D5CG9	escoparius	NO
N		NcP	lemma/49799	D5CE3	eschot	D5CH4	escot	NO
N2	n	NcB	lemma/87923	a1009	aesculetum	D5D12	esculetum	OK
N2	f	NcB	lemma/87927	a1013	aesculus	D5D15	esculus	OK
N2/1	*	Af-	lemma/108137	i2014	insiciatus	D5D30	esiciatus	OK
N3B	m	NcC	lemma/109119	i2944	isox	D5D59	esox	OK
N2	n	NcB	lemma/50027	D5D9A	essaium	D5DA6	essayum	NO
N1	f	NcA	lemma/28492	D0819	aessella	D5DAG	essella	NO
N2	n	NcB	lemma/87938	a1023	aestimium	D5DG8	estimium	NO
N2	n	NcB	lemma/87946	a1030	aestiua	D5DGB	estiua	NO
N2	n	NcB	lemma/50142	D5DH3	estocagium	D5DH4	estochagium	NO
N2	n	NcB	lemma/87948	a1032	aestuarium	D5E1F	estuarium	NO
V1		VmF	lemma/87960	a1042	aeterno	D5E33	eterno	NO
N1	f	NcA	lemma/101546	e1002	ethice	D5E3B	ethica	OK
V1		VmF	lemma/102006	e1457	exhalo	D5EG2	exalo	OK
V1		VmF	lemma/101769	e1219	examurgo	D5F03	examurco	OK
N1	f	NcA	lemma/27791	D080H	aescaeta	D5F4D	excaeta	NO
V1		VmF	lemma/50885	D5HA2	exscaturizo	D5F68	excaturizo	NO
V1		VmF	lemma/101888	e1333	excodico	D5F6A	excaudico	OK
N1	f	NcA	lemma/27791	D080H	aescaeta	D5F8D	exchaeta	NO
N2	n	NcB	lemma/50491	D5F57	excangium	D5F8G	exchangium	NO
V1		VmF	lemma/102285	e1724	exscreo	D5FDB	excreo	OK
